"car_travel_time","bike_travel_time","walk_travel_time","transit_travel_time","transit_headway","choice","av1","av2","av3","av4","numstops","triptime","waitime","cumdist","totalbikes","totalvehs","male","female","nocarlicence","greenlicence","fulllicence","trippurp1","trippurp2","trippurp3","trippurp4","trippurp5","trippurp6","trippurp7","trippurp8"
"9","9","25","21","15",4,1,1,1,1,"8","10","0","2.34","3","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"6.5","4","13","10","20",1,1,1,1,1,"8","45","0","1.7","3","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"7","5","14","11","20",1,1,1,1,1,"8","10","0","1.7","3","2",0,1,0,0,1,0,0,0,0,0,1,0,0
"9","7","24","22","13",4,1,1,1,1,"8","10","0","2.34","3","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"3","2","6","6","30",1,1,1,1,1,"8","5","0","0.46","3","2",0,1,0,0,1,0,1,0,0,0,0,0,0
"4","2","8","6","15",1,1,1,1,1,"8","5","0","0.14","3","2",0,1,0,0,1,0,1,0,0,0,0,0,0
"3","3","8","6","14",1,1,1,1,1,"8","5","0","0.17","3","2",0,1,0,0,1,0,0,0,0,0,1,0,0
"3","3","8","6","12",1,1,1,1,1,"1","5","0","0.17","3","2",0,1,1,0,0,0,0,0,0,0,1,0,0
"24.5","25","83","28","6",4,1,1,1,1,"4","15","0","6.48","0","1",1,0,0,0,1,0,0,0,0,0,0,0,1
"12.5","11","19","22","8",1,1,1,1,1,"4","85","0","0.75","0","1",1,0,0,0,1,0,0,0,0,0,0,0,1
"18","19","67","42","8",4,1,1,1,1,"4","35","0","5.67","0","1",1,0,0,0,1,0,0,0,0,0,0,0,1
"5","8","17","17","15",1,1,1,1,1,"2","20","0","1.37","3","1",0,1,1,0,0,0,0,0,0,0,0,0,1
"6.5","5","15","11","37",1,1,1,1,1,"2","20","0","1.37","3","1",0,1,1,0,0,0,0,0,0,0,0,0,1
"25.5","40","128","43","17",2,1,1,1,1,"4","45","0","9.65","3","1",1,0,0,0,1,0,0,0,0,0,0,0,1
"6","3","9","6","12",1,1,1,1,1,"4","10","0","0.55","3","1",1,0,0,0,1,0,0,0,0,0,0,0,1
"3","3","9","5","11",1,1,1,1,1,"4","5","0","0.55","3","1",1,0,0,0,1,0,1,0,0,0,0,0,0
"23","43","128","45","20",2,1,1,1,1,"4","45","0","9.65","3","1",1,0,0,0,1,0,0,0,0,0,0,0,1
"7","11","40","17","30",4,1,1,1,1,"10","6","0","3.05","3","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"7.5","11","42","18","13",4,1,1,1,1,"10","9","0","3.05","3","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"5","5","16","9","20",2,1,1,1,1,"10","6","0","1.11","3","1",1,0,0,0,1,0,0,0,0,0,0,1,0
"5","5","16","13","20",2,1,1,1,1,"10","6","0","1.11","3","1",1,0,0,0,1,0,0,0,0,0,0,1,0
"2","2","6","6","80",1,1,1,1,1,"10","1","0","0.15","3","1",1,0,0,0,1,0,0,0,0,0,0,1,0
"3","3","6","6","80",1,1,1,1,1,"10","1","0","0.15","3","1",1,0,0,0,1,0,0,0,0,0,0,1,0
"7","11","40","17","30",4,1,1,1,1,"8","6","0","3.05","3","1",1,0,1,0,0,1,0,0,0,0,0,0,0
"3","3","11","12","30",1,1,1,1,1,"8","5","0","0.56","3","1",1,0,1,0,0,1,0,0,0,0,0,0,0
"12","19","54","41","20",3,1,1,1,1,"8","25","5","5.815","3","1",1,0,1,0,0,0,0,0,0,0,0,1,0
"2","3","9","8","45",1,1,1,1,1,"8","15","0","0.88","3","1",1,0,1,0,0,0,0,0,0,0,0,0,1
"20","25","83","28","3",2,1,1,1,1,"4","30","0","6.72","1","0",1,0,0,0,1,0,0,0,0,0,0,0,1
"11","11","22","19","10",1,1,1,1,1,"4","15","0","0.97","1","0",1,0,0,0,1,0,0,0,0,0,0,0,1
"8.5","7","20","16","10",1,1,1,1,1,"4","10","0","0.97","1","0",1,0,0,0,1,0,0,0,0,0,0,1,0
"30.5","29","85","29","9",2,1,1,1,1,"4","25","0","6.72","1","0",1,0,0,0,1,0,0,0,0,0,0,0,1
"5","6","26","18","39",1,1,1,1,1,"2","25","0","1.09","0","1",1,0,0,0,1,0,0,0,0,0,1,0,0
"5.5","8","27","12","41",1,1,1,1,1,"2","20","0","1.09","0","1",1,0,0,0,1,0,0,0,0,0,1,0,0
"27.5","71","249","73","69",4,1,1,1,1,"7","25","0","20.36","0","1",0,1,1,0,0,0,0,0,0,0,0,1,0
"31","69","250","55","26",4,1,1,1,1,"7","25","0","20.36","0","1",0,1,1,0,0,0,0,0,0,0,0,1,0
"2","2","6","6","20",1,1,1,1,1,"7","10","0","0.47","0","1",0,1,1,0,0,0,0,0,0,0,0,1,0
"3","3","6","6","20",1,1,1,1,1,"7","3","0","0.24","0","1",0,1,1,0,0,0,0,0,1,0,0,0,0
"27.5","71","249","73","60",4,1,1,1,1,"4","25","0","20.36","0","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"28.5","69","250","55","40",4,1,1,1,1,"4","25","0","20.36","0","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"2","2","6","6","20",1,1,1,1,1,"4","10","0","0.47","0","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"3","2","6","6","20",1,1,1,1,1,"4","10","0","0.47","0","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"15","25","91","28","20",4,1,1,1,1,"3","10","0","7.27","0","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"14","27","93","28","20",4,1,1,1,1,"3","15","0","7.2","0","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"5","6","16","18","16",2,1,1,1,1,"11","10","0","0.75","6","1",0,1,0,0,1,0,0,0,0,0,1,0,0
"41","46","138","62","10",2,1,1,1,1,"11","45","0","9.73","6","1",0,1,0,0,1,0,0,0,0,0,1,0,0
"8","10","32","20","10",2,1,1,1,1,"11","10","0","2.74","6","1",0,1,0,0,1,0,0,0,0,0,0,0,1
"9.5","9","32","19","10",2,1,1,1,1,"11","10","0","2.74","6","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"38.5","47","137","47","25",2,1,1,1,1,"11","35","0","9.73","6","1",0,1,0,0,1,0,0,0,0,0,0,0,1
"6","5","15","15","12",2,1,1,1,1,"11","5","0","0.95","6","1",0,1,0,0,1,0,0,0,0,1,0,0,0
"3","3","6","6","31",2,1,1,1,1,"11","3","0","0.32","6","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"7","6","16","13","16",2,1,1,1,1,"4","10","0","1.4","6","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"37.5","36","99","34","20",2,1,1,1,1,"4","30","0","8","6","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"34","41","198","40","18",2,1,1,1,1,"4","50","0","8.31","6","1",1,0,0,0,1,0,0,0,0,0,0,0,1
"6","6","17","17","28",2,1,1,1,1,"4","10","0","0.75","6","1",1,0,0,0,1,0,0,0,1,0,0,0,0
"6.5","6","16","18","20",2,1,1,1,1,"5","10","0","0.75","6","1",1,0,1,0,0,0,0,1,0,0,0,0,0
"3","3","6","6","31",2,1,1,1,1,"5","3","0","0.32","6","1",1,0,1,0,0,0,0,0,0,0,0,1,0
"5","6","16","11","20",2,1,1,1,1,"1","10","0","1.4","6","1",0,1,1,0,0,1,0,0,0,0,0,0,0
"30","27","90","26","12",3,1,1,1,1,"7","47","12","7.997","0","1",1,0,0,1,0,0,1,0,0,0,0,0,0
"31","31","90","32","20",3,1,1,1,1,"7","70","25","11.86","0","1",1,0,0,1,0,0,1,0,0,0,0,0,0
"30","27","90","26","12",3,1,1,1,1,"7","47","12","7.997","0","1",0,1,0,1,0,0,1,0,0,0,0,0,0
"31","31","90","32","20",3,1,1,1,1,"7","70","25","11.86","0","1",0,1,0,1,0,0,1,0,0,0,0,0,0
"42.5","100","343","85","8",4,1,1,1,1,"3","60","0","26.63","0","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"37.5","83","273","59","20",4,1,1,1,1,"3","30","0","21.36","0","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"13","19","68","44","39",4,1,1,1,1,"3","30","0","5.27","0","2",1,0,0,0,1,0,0,0,0,1,0,0,0
"6","7","23","15","40",4,1,1,1,1,"3","5","0","2.18","0","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"22","41","145","74","16",4,1,1,1,1,"3","30","0","10.14","0","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"18","46","150","91","42",4,1,1,1,1,"3","60","0","11.22","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"6","7","23","15","40",4,1,1,1,1,"1","5","0","2.18","0","2",0,1,1,0,0,1,0,0,0,0,0,0,0
"8","11","38","27","60",2,1,1,1,1,"4","15","0","3.85","4","3",1,0,0,0,1,0,1,0,0,0,0,0,0
"33","77","275","63","13",2,1,1,1,1,"4","55","0","19.98","4","3",1,0,0,0,1,0,1,0,0,0,0,0,0
"32","59","221","77","6",2,1,1,1,1,"4","65","0","16.22","4","3",1,0,0,0,1,0,0,0,0,0,0,0,1
"7","9","32","25","37",2,1,1,1,1,"4","10","0","2.16","4","3",1,0,0,0,1,0,1,0,0,0,0,0,0
"36.5","81","288","105","15",2,1,1,1,1,"2","45","0","23.02","4","3",1,0,0,0,1,0,0,0,0,0,0,0,1
"39","79","281","93","22.5",2,1,1,1,1,"2","45","0","23.02","4","3",1,0,0,0,1,0,0,0,0,0,0,0,1
"36.5","85","288","113","42.25",4,1,1,1,1,"3","40","0","22.89","0","2",1,0,0,0,1,0,0,0,1,0,0,0,0
"38","72","237","104","31.75",4,1,1,1,1,"3","35","0","16.3","0","2",1,0,0,0,1,0,0,0,1,0,0,0,0
"18","35","140","144","31.66666667",4,1,1,1,1,"3","20","0","14.28","0","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"42.5","69","257","95","24.25",4,1,1,1,1,"6","40","0","22.82","0","3",1,0,0,0,1,0,0,0,0,0,0,0,1
"31","55","192","69","23.33333333",4,1,1,1,1,"2","35","0","15.39","0","3",0,1,0,0,1,0,1,0,0,0,0,0,0
"31","51","188","70","26.66666667",4,1,1,1,1,"2","30","0","15.39","0","3",0,1,0,0,1,0,1,0,0,0,0,0,0
"31","55","192","69","26.66666667",4,1,1,1,1,"2","35","0","15.39","0","3",0,1,0,1,0,0,1,0,0,0,0,0,0
"31","51","188","70","30",4,1,1,1,1,"2","30","0","15.39","0","3",0,1,0,1,0,0,1,0,0,0,0,0,0
"42.5","69","257","95","24.75",4,1,1,1,1,"4","40","0","22.63","0","3",1,0,1,0,0,1,0,0,0,0,0,0,0
"22","49","169","88","27",4,1,1,1,1,"6","20","0","13.62","0","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"26","56","166","50","24",4,1,1,1,1,"6","50","0","12.96","0","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"31","61","165","56","30",4,1,1,1,1,"6","45","0","12.96","0","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"24","47","163","76","36.66666667",4,1,1,1,1,"6","20","0","13.62","0","2",1,0,0,0,1,0,0,0,0,1,0,0,0
"7","11","38","25","40",4,1,1,1,1,"6","5","0","3.93","0","2",1,0,0,0,1,0,1,0,0,0,0,0,0
"6","12","39","33","40",4,1,1,1,1,"6","5","0","3.93","0","2",1,0,0,0,1,0,1,0,0,0,0,0,0
"22","49","169","88","27",4,1,1,1,1,"4","20","0","13.62","0","2",0,1,0,0,1,0,0,0,0,0,0,1,0
