Year,Month,Days,Date,Max_temp,Min_temp,Rainfall,Solar_exposure
2013,1,Tuesday,2013/1/1,28.9,12.1,0,32.8
2013,1,Wednesday,2013/1/2,22.2,11.9,0.4,31.5
2013,1,Thursday,2013/1/3,38,11.7,0,33.6
2013,1,Friday,2013/1/4,41.5,22.1,0,33.6
2013,1,Saturday,2013/1/5,27.5,17.8,0,32.2
2013,1,Sunday,2013/1/6,26.5,14.3,0,31.8
2013,1,Monday,2013/1/7,34.3,14.3,0,32.9
2013,1,Tuesday,2013/1/8,33.9,14.1,0,25.2
2013,1,Wednesday,2013/1/9,21.5,11,0,27.8
2013,1,Thursday,2013/1/10,27.8,8.7,0,33.1
2013,1,Friday,2013/1/11,40.9,15.7,0,30
2013,1,Saturday,2013/1/12,25,13.2,0,17.6
2013,1,Sunday,2013/1/13,19.8,14.1,0,5.7
2013,1,Monday,2013/1/14,21.5,9.7,0,28.3
2013,1,Tuesday,2013/1/15,30.1,9,0,32.5
2013,1,Wednesday,2013/1/16,26.5,11.5,0,32.7
2013,1,Thursday,2013/1/17,41.3,12.3,0,29.4
2013,1,Friday,2013/1/18,28.6,22.4,0,18.5
2013,1,Saturday,2013/1/19,22.3,13,0,27.8
2013,1,Sunday,2013/1/20,26.6,10.9,0,32.2
2013,1,Monday,2013/1/21,27.8,15.9,0,30.2
2013,1,Tuesday,2013/1/22,24.8,15.3,0,27.9
2013,1,Wednesday,2013/1/23,23.3,15.2,0,31
2013,1,Thursday,2013/1/24,36,11.9,0,31.5
2013,1,Friday,2013/1/25,27.3,21.2,0,11.9
2013,1,Saturday,2013/1/26,21.5,14.6,0,15
2013,1,Sunday,2013/1/27,23.8,13.4,0.8,23.3
2013,1,Monday,2013/1/28,24.5,12.5,0,28.5
2013,1,Tuesday,2013/1/29,20.3,13.6,8.6,19.9
2013,1,Wednesday,2013/1/30,28.7,8.5,0,31
2013,1,Thursday,2013/1/31,25.6,13.5,0,13.7
2013,2,Friday,2013/2/1,18.9,8.8,12.2,23.7
2013,2,Saturday,2013/2/2,21.3,11,0.6,27.8
2013,2,Sunday,2013/2/3,25,13.8,0.4,20.2
2013,2,Monday,2013/2/4,22.6,14,0,25.8
2013,2,Tuesday,2013/2/5,29.9,14.7,0,29.6
2013,2,Wednesday,2013/2/6,37.2,11.7,0,28.5
2013,2,Thursday,2013/2/7,32.6,16.4,0,24.6
2013,2,Friday,2013/2/8,30.1,14.8,0,29.4
2013,2,Saturday,2013/2/9,32.5,13.5,0,25.1
2013,2,Sunday,2013/2/10,22.7,15.6,0,22.9
2013,2,Monday,2013/2/11,25.5,12.8,0,28.7
2013,2,Tuesday,2013/2/12,25.9,13.7,0,24.5
2013,2,Wednesday,2013/2/13,32.7,13.2,0,28.6
2013,2,Thursday,2013/2/14,32.7,16.6,0,18.6
2013,2,Friday,2013/2/15,31.4,17.4,0,28.1
2013,2,Saturday,2013/2/16,34.8,16.1,0,25
2013,2,Sunday,2013/2/17,35.3,16.8,0,27
2013,2,Monday,2013/2/18,36.5,19,0,27.5
2013,2,Tuesday,2013/2/19,19.1,18.7,0,4.3
2013,2,Wednesday,2013/2/20,27.4,14.9,0,27.4
2013,2,Thursday,2013/2/21,31.1,14.7,0,17
2013,2,Friday,2013/2/22,31.8,18.2,7.6,24.4
2013,2,Saturday,2013/2/23,31.8,16.2,0,26.9
2013,2,Sunday,2013/2/24,34.5,17,0,24.3
2013,2,Monday,2013/2/25,33.6,20.9,0,20.5
2013,2,Tuesday,2013/2/26,28.5,15.6,19,12.3
2013,2,Wednesday,2013/2/27,29.1,17,3.8,7.1
2013,2,Thursday,2013/2/28,18.3,13.9,11.6,13.8
2013,3,Friday,2013/3/1,23.8,12.7,0.2,26.4
2013,3,Saturday,2013/3/2,26.3,13.1,0,26.7
2013,3,Sunday,2013/3/3,28.8,10.2,0,26.6
2013,3,Monday,2013/3/4,31.5,13.4,0,25.9
2013,3,Tuesday,2013/3/5,32.7,15.7,0,25.5
2013,3,Wednesday,2013/3/6,33.6,15.9,0,23.9
2013,3,Thursday,2013/3/7,35.2,20.1,0,15.5
2013,3,Friday,2013/3/8,34.6,18.6,0,18.6
2013,3,Saturday,2013/3/9,35.9,19.9,0,20.8
2013,3,Sunday,2013/3/10,36.3,19.2,0,12.8
2013,3,Monday,2013/3/11,36.9,17.1,0.2,20
2013,3,Tuesday,2013/3/12,36.2,23.2,0,22.6
2013,3,Wednesday,2013/3/13,26.5,24.3,0,16.8
2013,3,Thursday,2013/3/14,22.2,13.4,0,17.8
2013,3,Friday,2013/3/15,23.2,14.9,0,18.8
2013,3,Saturday,2013/3/16,24,14.4,0,10.1
2013,3,Sunday,2013/3/17,17.1,9.5,14.8,7.7
2013,3,Monday,2013/3/18,19.1,11.1,3.2,10.9
2013,3,Tuesday,2013/3/19,22.6,9.2,2,21.9
2013,3,Wednesday,2013/3/20,28.8,10.7,0,19.3
2013,3,Thursday,2013/3/21,22.5,17.6,0,9.5
2013,3,Friday,2013/3/22,19.5,12.3,2,6.9
2013,3,Saturday,2013/3/23,25,12.7,0.8,16.4
2013,3,Sunday,2013/3/24,25.6,15.2,0,14.7
2013,3,Monday,2013/3/25,23.8,10.6,0,18.5
2013,3,Tuesday,2013/3/26,30.6,13.8,0,19.6
2013,3,Wednesday,2013/3/27,35.5,19.3,0,14.6
2013,3,Thursday,2013/3/28,20.6,14.6,18.8,10.4
2013,3,Friday,2013/3/29,17.8,9,0.2,8.6
2013,3,Saturday,2013/3/30,21.6,12.3,0,10.4
2013,3,Sunday,2013/3/31,17.5,11.7,2,9
2013,4,Monday,2013/4/1,20.1,8.2,2.2,10.1
2013,4,Tuesday,2013/4/2,18.9,11.3,0,7.7
2013,4,Wednesday,2013/4/3,16.9,9.5,3.6,8.5
2013,4,Thursday,2013/4/4,19.7,5.7,0,18.7
2013,4,Friday,2013/4/5,24.6,8.9,0,15.5
2013,4,Saturday,2013/4/6,27.1,10.6,0,16.9
2013,4,Sunday,2013/4/7,27.7,16,0,11.2
2013,4,Monday,2013/4/8,21.8,14.3,2.6,14.4
2013,4,Tuesday,2013/4/9,22.3,12.7,0,15
2013,4,Wednesday,2013/4/10,24.3,10.3,0,16.5
2013,4,Thursday,2013/4/11,16.5,12.3,0.2,3.4
2013,4,Friday,2013/4/12,27.2,9.6,0.4,15.4
2013,4,Saturday,2013/4/13,24.1,14.9,1.6,3.9
2013,4,Sunday,2013/4/14,21.4,13.5,0,10
2013,4,Monday,2013/4/15,15,12,0.6,5.5
2013,4,Tuesday,2013/4/16,18.2,8.4,1.8,14.6
2013,4,Wednesday,2013/4/17,17.6,8.5,0,10
2013,4,Thursday,2013/4/18,15.9,7.5,1.6,6.6
2013,4,Friday,2013/4/19,16.2,8.4,1.8,11.9
2013,4,Saturday,2013/4/20,17.8,5.6,0,11.6
2013,4,Sunday,2013/4/21,20.7,5.6,0,13.8
2013,4,Monday,2013/4/22,18.5,10.7,0.4,5.3
2013,4,Tuesday,2013/4/23,18.8,10.4,3.8,10.2
2013,4,Wednesday,2013/4/24,20.1,11.5,0,8.9
2013,4,Thursday,2013/4/25,20.8,9,3.6,12.1
2013,4,Friday,2013/4/26,22,13.6,0,7.3
2013,4,Saturday,2013/4/27,24.5,12.8,0,11.8
2013,4,Sunday,2013/4/28,19.1,14.9,0,6.6
2013,4,Monday,2013/4/29,18.2,6.9,0,9.9
2013,4,Tuesday,2013/4/30,17.7,5,0,10.2
2013,5,Wednesday,2013/5/1,16.7,7.9,0,7.2
2013,5,Thursday,2013/5/2,16.4,3.8,2.8,13.2
2013,5,Friday,2013/5/3,19.5,5.7,0,10
2013,5,Saturday,2013/5/4,15.3,8.4,0.4,7.7
2013,5,Sunday,2013/5/5,14.7,9,0,5.9
2013,5,Monday,2013/5/6,18.6,2.1,0,12.5
2013,5,Tuesday,2013/5/7,19.9,7.7,0.4,10
2013,5,Wednesday,2013/5/8,23.9,10.7,0,10.6
2013,5,Thursday,2013/5/9,26.2,14.6,0,11.4
2013,5,Friday,2013/5/10,25,11.3,0,11.3
2013,5,Saturday,2013/5/11,24.1,11.5,0,10.8
2013,5,Sunday,2013/5/12,23.4,14.4,0,6.5
2013,5,Monday,2013/5/13,17.6,11.8,0.8,7.8
2013,5,Tuesday,2013/5/14,13.5,5.8,0.4,7.6
2013,5,Wednesday,2013/5/15,15.5,8.1,0.4,7
2013,5,Thursday,2013/5/16,15.4,9.1,1.4,4.9
2013,5,Friday,2013/5/17,15.5,9.1,4.8,7.3
2013,5,Saturday,2013/5/18,13.5,7.9,0,6.2
2013,5,Sunday,2013/5/19,16.9,6.6,0.8,8.7
2013,5,Monday,2013/5/20,14.6,8.6,0,2.9
2013,5,Tuesday,2013/5/21,16,6,4.4,9.2
2013,5,Wednesday,2013/5/22,15,3.6,0,6.8
2013,5,Thursday,2013/5/23,15.7,3.1,0.2,8.8
2013,5,Friday,2013/5/24,16.7,4.3,0.2,9.1
2013,5,Saturday,2013/5/25,18.6,6.7,0,7.6
2013,5,Sunday,2013/5/26,15.6,7.8,0,3.3
2013,5,Monday,2013/5/27,14.8,8.7,0,5.4
2013,5,Tuesday,2013/5/28,17.9,3.4,0.2,8.5
2013,5,Wednesday,2013/5/29,18.4,7,0,7.6
2013,5,Thursday,2013/5/30,15.5,11.1,0.4,2.5
2013,5,Friday,2013/5/31,17.3,11.2,8.4,6.1
2013,6,Saturday,2013/6/1,15.1,12.8,75.8,2.8
2013,6,Sunday,2013/6/2,14.4,8.4,3.6,6
2013,6,Monday,2013/6/3,14.3,8.9,0.6,4.6
2013,6,Tuesday,2013/6/4,14.5,9.6,0,4.1
2013,6,Wednesday,2013/6/5,13.6,9.4,0,5.1
2013,6,Thursday,2013/6/6,16.5,11.2,0,5.5
2013,6,Friday,2013/6/7,13.9,10.2,8.8,6.1
2013,6,Saturday,2013/6/8,15,4.5,0.6,8.3
2013,6,Sunday,2013/6/9,13.9,4.5,0,8.2
2013,6,Monday,2013/6/10,15.6,3.2,0,6.8
2013,6,Tuesday,2013/6/11,14.8,8.8,0,2.8
2013,6,Wednesday,2013/6/12,12.1,7.4,0.8,2.4
2013,6,Thursday,2013/6/13,11.9,9.3,9.6,2.7
2013,6,Friday,2013/6/14,12.9,10.3,21,4.9
2013,6,Saturday,2013/6/15,13.1,5.4,0,4.2
2013,6,Sunday,2013/6/16,12.9,6,1,7
2013,6,Monday,2013/6/17,10.6,5.5,0.4,2.8
2013,6,Tuesday,2013/6/18,13.3,7.3,3.8,6.2
2013,6,Wednesday,2013/6/19,12.9,2.3,0,8.2
2013,6,Thursday,2013/6/20,14.3,0.9,0,8.3
2013,6,Friday,2013/6/21,13.7,1.1,0,8.2
2013,6,Saturday,2013/6/22,13.5,0.6,0,8.2
2013,6,Sunday,2013/6/23,12.9,1.1,0,8.2
